"decade","number_of_tracks","avg_energy"
1880,1,0.252
1890,12,0.28264
1900,73,0.5029013698630137
1910,10,0.2338
1920,31,0.3259709677419355
1930,55,0.34199090909090907
1940,83,0.32947831325301213
1950,1079,0.32931590361445795
1960,2570,0.41024538533073945
1970,5440,0.48026624301470655
1980,7693,0.5246393614974663
1990,27286,0.49379501125119124
2000,78334,0.581885429492934
2010,235359,0.6264007767810094
2020,86119,0.6306975749288765
